Task Name,Category,Notes
Is this going to work,DFY Setters,Nah
Another test,DFY Setters,Yes
Hello,Personal,Is this working?
Show Dan,Personl,Nah
Upload Todo to Github,Personal,Get todo app as public repo
sort code folder,Setters ai,Split files into prod and dev
create basic essay website,Personal,Upload all essays to internet privately
Add tailwind to Django project,ls,Get tailwind classes working for personal website
Format GitHub,Personal,Make Github Ready for Interviews
Create CV,Personal,Create a good CV with solid LI
Setup LinkedIn,Personal,Make LI look good
